time,pfc_flux,temperature,desorption_rate
0.0,1.6967709527729e-14,300.0,1068965700246926.9
0.10000000000002274,1.8527390274586e-14,300.8000000000002,1167225587298918.0
0.20999999999997954,2.052739289788e-14,301.67999999999984,1293225752566440.0
0.3310000000000173,2.3041426332005e-14,302.64800000000014,1451609858916315.0
0.46409999999997353,2.6169739842099998e-14,303.7127999999998,1648693610052300.0
0.6105099999999766,3.0073716003698e-14,304.8840799999998,1894644108232974.2
0.7715610000000197,3.4990149820258e-14,306.17248800000016,2204379438676254.0
0.9487171000000103,4.1253149311533e-14,307.5897368000001,2598948406626579.0
1.143588809999983,4.9331960221655e-14,309.14871047999986,3107913493964265.0
1.3579476909999926,5.9890999210629e-14,310.86358152799994,3773132950269627.5
1.5937424600999748,7.3881864629015e-14,312.7499396807998,4654557471627945.0
1.8531167061099723,9.2683242228856e-14,314.8249336488798,5839044260417928.0
2.138428376720981,1.1831372155056e-13,317.10742701376785,7453764457685280.0
2.452271214393079,1.5375603862668e-13,319.61816971514463,9686630433480840.0
2.7974983358324153,2.0345187782751e-13,322.3799866866593,1.281746830313313e+16
3.177248169415691,2.7406028899628e-13,325.4179853553255,1.7265798206765642e+16
3.59497298635722,3.7563510532267e-13,328.75978389085776,2.3665011635328212e+16
4.054470284992874,5.2349744827882e-13,332.435762279943,3.298033924156566e+16
4.559917313492178,7.4128735307e-13,336.4793385079374,4.670110324341e+16
5.115909044841487,1.065903735767e-12,340.9272723587319,6.7151935353321e+16
5.7274999493255905,1.5548955004502e-12,345.8199995946047,9.79584165283626e+16
6.400249944258178,2.2955989245873e-12,351.2019995540654,1.446227322489999e+17
7.140274938684001,3.4137741198904e-12,357.122199509472,2.150677695530952e+17
7.954302432552424,5.089185668854099e-12,363.6344194604194,3.2061869713780826e+17
8.76832992642079,7.362457892318599e-12,370.1466394113663,4.6383484721607174e+17
9.582357420289213,1.0483635462927e-11,376.6588593623137,6.60469034164401e+17
10.396384914157977,1.4716812777736e-11,383.1710793132638,9.27159204997368e+17
11.210412408026002,1.9982420198481e-11,389.683299264208,1.2588924725043028e+18
12.024439901894027,2.5787397759413e-11,396.1955192151522,1.624606058843019e+18
12.838467395763018,3.1706791261745e-11,402.70773916610415,1.997527849489935e+18
13.652494889630987,3.7664148444633e-11,409.2199591170479,2.372841352011879e+18
14.466522383499978,4.3718892459933e-11,415.7321790679998,2.7542902249757793e+18
15.280549877368003,4.9844344470084e-11,422.244399018944,3.140193701615292e+18
16.094577371236028,5.5883093924823e-11,428.7566189698882,3.5206349172638495e+18
16.501591118171007,5.8777660007046e-11,432.01272894536805,3.702992580443898e+18
16.90860486510502,6.1534619020981e-11,435.26883892084015,3.8766809983218033e+18
17.315618612038975,6.4127008214044e-11,438.5249488963118,4.0400015174847724e+18
17.722632358972987,6.6529236280342e-11,441.7810588717839,4.1913418856615465e+18
18.129646105907,6.8715058324793e-11,445.037168847256,4.3290486744619587e+18
18.53665985284198,7.0657663141346e-11,448.29327882273583,4.451432777904798e+18
18.94367359977599,7.2328193648229e-11,451.54938879820793,4.556676199838427e+18
19.350687346710004,7.3694598375952e-11,454.80549877368003,4.642759697684976e+18
19.757701093644016,7.4722619784701e-11,458.06160874915213,4.707525046436164e+18
20.16471484057797,7.5379005751241e-11,461.3177187246238,4.748877362328183e+18
20.571728587513007,7.5635571877746e-11,464.57382870010406,4.765041028297998e+18
20.97874233444702,7.547267808877e-11,467.82993867557616,4.75477871959251e+18
21.385756081380976,7.4881634775033e-11,471.0860486510478,4.71754299082708e+18
21.792769828314988,7.386627394462801e-11,474.3421586265199,4.653575258511565e+18
22.199783575249,7.244385858845001e-11,477.598268601992,4.5639630910723507e+18
22.60679732218398,7.0645152615293e-11,480.85437857747183,4.450644614763459e+18
23.013811069117992,6.8513409901708e-11,484.11048855294393,4.3163448238076037e+18
23.420824816052004,6.6102291850816e-11,487.36659852841603,4.164444386601408e+18
23.827838562986017,6.3473027376678e-11,490.62270850388813,3.998800724730714e+18
24.234852309919972,6.069130411520101e-11,493.8788184793598,3.8235521592576635e+18
24.641866056855008,5.782435874741701e-11,497.13492845484006,3.642934601087272e+18
25.04887980378902,5.4938520595743e-11,500.39103843031216,3.461126797531809e+18
25.455893550722976,5.209715406972901e-11,503.6471484057838,3.2821207063929277e+18
25.86290729765699,4.9358726121042e-11,506.9032583812559,3.109599745625646e+18
26.269921044591,4.6774748051245e-11,510.159368356728,2.946809127228435e+18
26.67693479152598,4.4387602595454e-11,513.4154783322078,2.796418963513602e+18
27.083948538459993,4.2228596698756e-11,516.6715883076799,2.660401592021628e+18
27.490962285394005,4.0316757092934e-11,519.927698283152,2.539955696854842e+18
27.897976032328017,3.8658783965326e-11,523.1838082586241,2.435503389815538e+18
28.304989779261973,3.7250247541657e-11,526.4399182340958,2.346765595124391e+18
28.71200352619701,3.6077742662114e-11,529.6960282095761,2.2728977877131822e+18
29.11901727313102,3.5121499466193e-11,532.9521381850482,2.212654466370159e+18
29.56673239475799,3.429034502147e-11,536.5338591580639,2.16029173635261e+18
30.059219028549023,3.3604412179153e-11,540.4737522283922,2.117077967286639e+18
30.60095432571802,3.307486901924e-11,544.8076346057442,2.0837167482121203e+18
31.196863152604976,3.2701855663205e-11,549.5749052208398,2.060216906781915e+18
31.852362862179973,3.2472419597386e-11,554.8189028974398,2.045762434635318e+18
32.57341254271199,3.2357244631819e-11,560.5873003416959,2.038506411804597e+18
33.366567191297975,3.2306702300835e-11,566.9325375303838,2.0353222449526052e+18
